,mu,sigma,trials,cluster,decision,alpha,tau,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
23,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",pca,[0 1 0 0 0 0 1 0 1 0 0 0 0 0 0],0.10926,0.01886,0.14737,0.00959,0.21835,0.09946,0.13666
24,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",km_choice,[1 2 2 1 2 0 0 0 0 0 1 1 0 0 0],0.56094,0.41536,0.53262,0.32399,0.5556,0.51059,0.53214
25,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",spectral overlap,[1 2 1 1 0 1 0 1 0 1 1 1 1 1 1],0.18878,0.02173,0.21082,0.01562,0.25864,0.17183,0.20648
26,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",km_con,[0 1 1 0 1 0 2 0 2 0 0 0 2 2 0],0.3366,0.17143,0.31961,0.06231,0.3334,0.30639,0.31932
27,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",km_ent,[0 1 0 0 0 0 1 2 1 0 2 2 0 1 2],0.2254,0.05249,0.20882,0.0712,0.21252,0.20517,0.20878
28,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",spectral warp,[2 2 1 2 1 0 0 0 0 1 0 0 0 0 0],0.55913,0.41179,0.54723,0.33333,0.58839,0.50894,0.54579
29,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",aff prop,[0 0 0 0 0 2 2 2 1 0 1 1 2 2 2],0.51383,0.3663,0.47729,0.34304,0.48708,0.4677,0.47719
30,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",pca,[1 1 1 1 1 0 0 0 0 1 0 0 0 0 0],0.50621,0.41797,0.58871,0.44077,0.75216,0.46077,0.57147
31,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",km_choice,[0 0 0 0 0 0 0 0 1 0 0 0 0 2 0],0.15149,-0.00511,0.20752,-0.00901,0.3123,0.13789,0.19131
32,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",spectral overlap,[2 1 1 1 1 0 0 0 1 1 0 0 0 0 0],0.49117,0.35289,0.49889,0.31858,0.55669,0.44708,0.4959
33,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",km_con,[0 0 0 0 0 1 1 1 2 0 0 1 1 1 1],0.40831,0.26523,0.41249,0.29167,0.45781,0.37166,0.41026
34,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",km_ent,[1 1 1 1 1 0 2 2 0 1 0 0 2 2 2],0.50921,0.36149,0.46636,0.33003,0.46924,0.4635,0.46635
35,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",spectral warp,[1 1 1 1 1 0 1 0 0 0 2 2 2 2 2],0.91839,0.80476,0.84111,0.79208,0.84629,0.83595,0.84109
36,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",aff prop,[0 0 0 0 0 0 0 0 0 0 1 1 1 1 1],0.63651,0.54481,0.76117,0.53333,1.0,0.57938,0.73368
37,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",pca,[0 0 0 0 0 0 0 0 0 0 1 1 1 1 1],0.63651,0.54481,0.76117,0.53333,1.0,0.57938,0.73368
38,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",km_choice,[0 0 1 1 0 1 1 1 1 1 2 0 0 0 0],0.50073,0.3636,0.50586,0.33333,0.56144,0.45578,0.50312
39,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",spectral overlap,[0 2 0 0 0 1 0 1 1 1 1 1 1 1 1],0.51963,0.38174,0.53671,0.35632,0.60902,0.47299,0.53245
40,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",km_con,[1 1 0 0 1 0 0 0 0 0 2 2 2 2 2],0.81942,0.69717,0.76522,0.64103,0.78507,0.74587,0.76497
41,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",km_ent,[1 1 1 1 1 2 1 2 2 2 0 0 0 0 0],0.91839,0.80476,0.84111,0.79208,0.84629,0.83595,0.84109
