,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
53,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,aff prop,[0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0],0.04942,-0.03063,0.07582,-0.00546,0.08063,0.0713,0.07568,38.0,47.0,35.0,43.0,34.0,38.0,35.0
54,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,pca,[0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,44.0,36.0,44.0,35.0,44.0,44.0,44.0
55,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral overlap,[0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0],0.0,-0.04567,0.0,-0.03486,0.0,0.0,0.0,52.0,52.0,52.0,49.0,52.0,52.0,52.0
56,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,km_choice,[0 1 1 0 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,21.0,36.0,23.0,36.0,30.0,36.0
57,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,km_ent,[0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,44.0,36.0,44.0,35.0,44.0,44.0,44.0
58,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,km_con,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
59,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spect_cos_cat,[0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,46.0,43.0,46.0,42.0,46.0,46.0,46.0
60,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,aff_cos_cat,[0 0 1 5 5 5 5 5 5 0 2 5 5 5 2 3 4 0 5 5],0.20173,0.02407,0.21007,-0.0079,0.15164,0.29103,0.19939,11.0,34.0,12.0,45.0,29.0,11.0,12.0
61,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spect_cos_ent,[1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 1 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,48.0,51.0,48.0,48.0,48.0,48.0,48.0
62,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,aff_cos_ent,[4 4 4 1 4 0 1 1 2 4 4 4 4 3 4 4 4 4 4 4],0.23692,0.11431,0.28693,0.09424,0.24087,0.3418,0.28259,6.0,6.0,6.0,18.0,5.0,6.0,6.0
63,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spect_rbf,[1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 0 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,47.0,45.0,47.0,46.0,47.0,47.0,47.0
64,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spect_esk_sim,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
