,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
15,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,aff_lin_sim,[4 0 1 3 0 2 1 4 2 3 2 3 4 5 0 5 5 2 0 5],0.22493,0.03748,0.20336,0.02536,0.12744,0.32451,0.18301,8.0,35.0,21.0,29.0,37.0,8.0,24.0
16,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,comp_hr_esk_dis,[1 0 0 0 1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,50.0,47.0,50.0,48.0,50.0,50.0,50.0
17,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,avg_hr_esk_dis,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,41.0,40.0,39.0,40.0,29.0,41.0,39.0
18,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,comp_hr_lin_din,[0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1],0.0863,0.08869,0.12636,0.1153,0.12824,0.12451,0.12635,30.0,23.0,35.0,18.0,33.0,30.0,35.0
19,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,avg_hr_lin_dis,[0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,48.0,49.0,48.0,46.0,48.0,48.0,48.0
20,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spect_edr,[1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 1 1 1 0],0.1484,0.18162,0.22152,0.21227,0.22921,0.21409,0.22139,23.0,13.0,18.0,9.0,20.0,23.0,18.0
21,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,aff_edr,[0 1 3 5 2 2 3 3 1 4 5 2 3 4 5 1 3 0 0 6],0.07367,-0.07851,0.0648,-0.06347,0.0395,0.10628,0.0576,39.0,52.0,41.0,52.0,44.0,39.0,42.0
22,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral bad warp,[1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0],0.42281,0.59403,0.61904,0.62084,0.62824,0.60999,0.61898,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity bad warp,[0 1 0 2 0 1 1 2 0 2 0 2 2 1 4 1 3 3 1 4],0.19185,0.04462,0.18722,0.0103,0.12665,0.27678,0.17378,15.0,32.0,24.0,37.0,38.0,15.0,25.0
24,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,PCA bad euclid,[1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 0],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,9.0,4.0,4.0,4.0,4.0,9.0,4.0
