,0,1,2,3,4,5,6,7,8,9
85,0.7,0.1,0.3,0.3,0.3,0.2,0.1,0.3,0.1,0.3
86,0.6,0.9,0.7,0.6,0.8,0.9,0.3,0.8,0.7,0.9
87,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.9
88,0.5,0.5,0.6,0.6,0.5,0.6,0.7,0.4,0.6,0.5
89,1.0,1.0,0.5,0.6,0.9,0.8,0.7,0.8,0.5,0.8
90,0.8,0.7,0.6,0.7,0.2,0.3,0.5,0.4,0.3,0.1
91,0.0,0.9,0.5,0.6,0.4,0.4,0.9,0.4,0.1,0.0
92,0.4,0.5,0.5,0.2,0.0,0.2,0.1,0.0,0.0,0.0
93,0.3,1.0,0.9,0.0,0.9,0.7,0.0,0.4,0.4,0.0
94,0.3,0.7,0.4,0.6,0.4,0.0,0.3,0.6,0.2,0.7
95,0.5,0.5,0.7,0.2,0.6,0.2,0.5,0.4,0.7,0.3
96,0.8,0.4,0.5,0.6,1.0,0.4,0.0,0.0,0.0,0.0
97,0.4,0.5,0.6,0.7,0.9,0.9,0.4,0.6,0.5,0.8
98,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.4,0.9,0.9,0.9,0.5,0.7,0.8,0.1,0.7,0.5
100,0.5,0.6,0.8,0.5,0.5,0.3,0.4,0.6,0.4,0.6
101,0.8,0.8,0.3,0.7,0.7,0.6,0.6,0.4,0.6,0.5
102,0.5,0.5,0.5,0.5,0.1,0.0,0.0,0.0,0.0,0.0
103,0.6,0.6,0.5,0.5,0.5,0.3,0.6,0.4,0.5,0.4
104,1.0,0.6,0.7,0.8,0.7,1.0,0.8,0.6,0.9,0.9
105,0.6,0.7,0.3,0.3,0.4,0.6,0.3,0.3,0.2,0.2
106,0.3,0.1,0.6,0.4,0.9,0.3,0.5,0.8,0.4,0.6
107,0.9,0.6,0.7,0.3,0.5,0.3,0.0,0.1,0.1,0.1
108,0.7,0.0,0.5,0.6,0.4,0.8,0.5,0.7,0.5,0.3
109,0.4,0.5,0.4,0.5,0.4,0.7,0.5,0.8,0.8,1.0
110,0.7,0.8,0.5,0.3,0.5,0.6,0.8,0.4,0.7,0.7
111,0.4,0.7,0.3,0.4,0.5,0.4,0.5,0.5,0.4,0.4
112,0.3,0.7,0.7,0.8,0.6,0.7,0.7,0.6,0.5,0.7
113,0.7,0.1,0.4,0.6,0.4,0.6,0.1,0.3,0.5,0.4
114,0.8,0.7,0.6,0.5,1.0,1.0,0.5,0.1,0.0,0.0
115,0.6,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.4,0.4
116,0.8,1.0,0.9,0.7,0.7,0.7,0.7,0.9,0.8,0.5
117,0.4,0.2,0.5,0.4,0.6,0.5,0.1,0.1,0.0,0.1
118,0.5,0.0,0.0,0.5,0.0,0.4,0.7,0.5,0.5,0.5
119,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
120,0.6,0.5,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.1
121,0.9,0.0,0.9,1.0,1.0,0.5,0.0,0.0,0.0,0.0
122,0.7,0.3,0.5,0.5,0.6,0.6,0.8,0.7,0.2,0.0
123,0.6,0.5,0.5,0.5,0.5,0.3,0.1,0.4,0.8,0.5
124,0.5,0.2,0.3,0.5,0.1,0.6,0.4,0.4,0.6,0.7
125,0.3,0.4,1.0,1.0,0.8,0.8,0.7,0.9,0.8,0.3
126,0.2,0.1,1.0,0.7,1.0,1.0,1.0,0.7,0.8,1.0
127,0.7,0.8,0.3,0.2,0.4,0.2,0.3,0.4,0.5,0.7
128,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.6,0.6,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6
130,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.4,0.4,0.4
131,0.7,0.5,0.4,0.5,0.4,0.6,0.4,0.6,0.4,0.6
132,0.4,0.8,0.7,0.2,0.4,0.3,0.4,0.3,0.1,0.1
133,0.4,0.4,0.4,0.4,0.7,0.5,0.3,0.4,0.8,0.6
134,0.2,0.8,0.6,0.2,0.8,0.8,1.0,1.0,1.0,0.4
