,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
167,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.2, 0.2]",,spect_rbf,[0 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 1 0 0 1],-0.0,-0.04064,-0.0,-0.05556,-0.0,-0.0,-0.0,51.0,47.0,51.0,50.0,51.0,51.0,51.0
168,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.2, 0.2]",,spect_esk_sim,[0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,12.0,5.0,12.0,4.0,15.0,12.0,12.0
169,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.2, 0.2]",,aff_esk_sim,[0 4 1 0 5 3 2 0 3 0 0 5 0 4 3 5 4 4 4 5],0.16915,0.00281,0.15993,0.0195,0.10481,0.24403,0.14664,9.0,15.0,9.0,10.0,18.0,9.0,8.0
170,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.2, 0.2]",,spect_lin_sim,[0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,12.0,5.0,12.0,4.0,15.0,12.0,12.0
171,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.2, 0.2]",,aff_lin_sim,[1 2 0 1 2 3 3 1 3 1 1 4 1 4 3 2 1 4 4 2],0.20303,0.05555,0.20026,0.03316,0.13692,0.29291,0.18661,5.0,4.0,4.0,9.0,11.0,5.0,4.0
172,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.2, 0.2]",,comp_hr_esk_dis,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,20.0,17.0,15.0,17.0,4.0,20.0,15.0
173,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.2, 0.2]",,avg_hr_esk_dis,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,20.0,17.0,15.0,17.0,4.0,20.0,15.0
174,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.2, 0.2]",,comp_hr_lin_din,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,20.0,17.0,15.0,17.0,4.0,20.0,15.0
175,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.2, 0.2]",,avg_hr_lin_dis,[1 1 0 1 1 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,12.0,5.0,12.0,4.0,15.0,12.0,12.0
176,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.2, 0.2]",,spect_edr,[1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 0 0 1 1 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,44.0,44.0,43.0,43.0,43.0,44.0,43.0
