,no_clust,algorithm,predictions
65,4.0,aff_edr,"[3 3 3 3 0 0 0 0 3 3 0 3 1 3 0 3 3 3 1 0 3 0 3 1 1 3 3 1 1 1 3 0 1 2 3 1 0
 1 2 3 3 3 0 3]"
66,5.0,spectral warp,"[1 0 1 0 1 1 2 4 0 0 1 1 3 0 4 1 0 0 3 2 0 2 0 2 2 1 0 2 2 2 1 1 2 3 4 2 4
 2 3 0 0 4 4 1]"
67,5.0,aff prop,"[1 3 1 1 1 1 1 0 3 3 1 1 4 3 0 1 3 3 2 5 3 5 3 4 5 1 3 4 5 4 1 1 5 4 1 5 0
 5 6 3 3 0 0 1]"
68,5.0,pca,"[1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 1
 0 0 0 1 1 1 1]"
69,5.0,spectral overlap,"[1 1 1 2 1 1 2 2 1 1 1 1 1 1 2 1 1 1 4 4 1 0 2 3 0 1 1 2 1 2 1 2 0 3 1 2 1
 4 1 1 1 1 1 1]"
70,5.0,km_choice,"[2 1 1 1 4 1 4 3 2 2 0 0 4 2 1 1 1 1 1 4 0 1 4 3 4 3 0 1 3 4 2 3 4 4 2 1 1
 4 4 2 0 1 1 1]"
71,5.0,km_ent,"[0 0 4 0 4 0 0 4 4 0 0 0 1 0 3 0 0 0 2 1 0 0 0 3 3 4 0 3 3 3 0 0 3 1 0 3 3
 2 1 4 0 0 0 0]"
72,5.0,km_con,"[2 4 2 4 2 4 1 3 3 0 4 0 1 4 0 0 4 2 4 1 0 4 1 3 1 3 0 4 1 1 0 4 1 1 3 4 4
 1 1 3 0 0 4 2]"
73,5.0,spect_cos_cat,"[3 3 3 2 2 1 1 1 3 3 0 4 2 3 4 1 2 3 2 0 4 1 1 3 0 0 0 0 1 2 2 0 3 2 0 2 1
 1 2 1 2 4 2 1]"
74,5.0,aff_cos_cat,"[1 1 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0
 1 1 1 1 1 1 0]"
75,5.0,spect_cos_ent,"[0 0 0 0 3 4 2 1 3 0 1 0 4 0 0 0 1 0 3 1 0 2 0 2 2 1 0 2 2 0 0 0 4 2 0 2 0
 3 2 1 0 0 0 4]"
76,5.0,aff_cos_ent,"[0 0 3 0 2 1 0 6 2 0 3 0 1 0 0 0 3 0 4 5 0 8 0 8 8 6 0 8 8 8 0 0 1 7 0 8 0
 9 3 6 0 0 0 1]"
77,5.0,spect_rbf,"[4 4 1 4 2 1 4 1 2 4 1 4 0 4 4 4 1 4 2 1 4 3 4 3 3 1 4 3 3 0 4 4 0 3 0 3 0
 2 3 1 4 4 4 1]"
78,5.0,spect_esk_sim,"[1 0 4 0 2 0 2 1 4 4 0 1 4 0 0 0 0 1 0 4 2 0 1 1 1 1 2 0 3 2 4 3 4 3 1 0 3
 3 4 1 2 1 3 1]"
79,5.0,aff_esk_sim,"[4 3 1 1 4 3 0 0 0 4 1 3 4 5 1 1 3 4 1 0 4 1 0 4 0 0 4 1 2 4 5 3 0 2 1 1 3
 2 4 3 5 1 2 1]"
80,5.0,spect_lin_sim,"[3 1 4 0 3 2 3 2 4 4 0 2 4 4 0 0 0 2 2 4 3 0 2 4 3 4 3 0 1 3 4 1 4 1 2 0 1
 1 3 4 3 2 1 2]"
81,5.0,aff_lin_sim,"[5 0 1 1 5 4 2 2 2 1 1 0 5 6 1 4 4 0 4 2 6 1 2 5 2 2 6 4 3 5 6 3 3 3 2 4 3
 3 5 3 6 1 3 4]"
82,5.0,comp_hr_esk_dis,"[1 1 1 1 0 3 2 2 1 1 0 0 2 1 1 0 0 1 0 2 0 0 0 0 2 2 2 0 4 0 1 3 2 4 0 0 3
 4 1 1 1 0 3 3]"
