,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
110,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,km_con,[0 1 1 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,24.0,32.0,15.0,31.0,30.0,32.0
111,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spect_cos_cat,[0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,38.0,30.0,37.0,29.0,36.0,38.0,37.0
112,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,aff_cos_cat,[1 1 0 1 1 2 1 1 1 2 2 1 2 1 1 1 1 2 2 3],0.09468,-0.00618,0.11563,-0.00782,0.09788,0.13659,0.11404,21.0,36.0,26.0,37.0,27.0,21.0,26.0
113,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spect_cos_ent,[1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 0],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,45.0,43.0,45.0,44.0,45.0,45.0,45.0
114,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,aff_cos_ent,[0 1 3 0 0 1 1 2 2 1 1 0 0 2 3 2 3 1 1 3],0.03478,-0.04381,0.03585,-0.05134,0.02562,0.05018,0.03392,37.0,52.0,40.0,52.0,41.0,37.0,40.0
115,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spect_rbf,[0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,45.0,43.0,45.0,44.0,45.0,45.0,45.0
116,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spect_esk_sim,[1 0 0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,28.0,21.0,27.0,14.0,26.0,28.0,27.0
117,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,aff_esk_sim,[0 1 2 0 1 0 0 2 2 0 0 0 0 0 3 2 5 4 0 5],0.23411,0.0483,0.23526,-0.00227,0.16388,0.33774,0.22068,4.0,22.0,6.0,35.0,19.0,4.0,9.0
118,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spect_lin_sim,[1 0 0 1 0 1 1 0 0 1 1 1 1 1 0 0 0 1 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,50.0,41.0,50.0,49.0,50.0,50.0,50.0
119,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,aff_lin_sim,[1 0 2 1 0 1 1 2 2 1 1 1 1 1 0 2 3 1 1 3],0.10625,0.00724,0.11821,-0.0169,0.09116,0.15328,0.11433,16.0,28.0,25.0,39.0,30.0,16.0,25.0
120,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,comp_hr_esk_dis,[1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,38.0,32.0,37.0,29.0,36.0,38.0,37.0
121,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,avg_hr_esk_dis,[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.07488,0.05993,0.15775,0.02146,0.23035,0.10803,0.14708,22.0,14.0,14.0,23.0,4.0,22.0,18.0
122,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,comp_hr_lin_din,[0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,45.0,43.0,45.0,44.0,45.0,45.0,45.0
123,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,avg_hr_lin_dis,[0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,38.0,30.0,37.0,29.0,36.0,38.0,37.0
124,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spect_edr,[1 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0],0.0,-0.04207,0.0,-0.04626,0.0,0.0,0.0,52.0,51.0,52.0,51.0,52.0,52.0,52.0
