,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
64,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spect_esk_sim,[0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,7.0,1.0,1.0,2.0,1.0,7.0,1.0
65,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,aff_esk_sim,[2 2 1 0 1 1 1 2 0 2 2 0 2 2 2 2 2 3 0 0],0.18839,0.08698,0.20966,0.04517,0.16173,0.27179,0.20279,3.0,13.0,11.0,16.0,13.0,3.0,11.0
66,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spect_lin_sim,[1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,7.0,8.0,1.0,2.0,1.0,7.0,1.0
67,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,aff_lin_sim,[1 1 0 2 0 0 0 1 2 1 1 2 1 1 1 1 1 2 2 2],0.16569,0.11036,0.19612,0.05856,0.16092,0.23904,0.19235,6.0,11.0,13.0,13.0,14.0,6.0,13.0
68,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,comp_hr_esk_dis,[0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,7.0,1.0,1.0,2.0,1.0,7.0,1.0
69,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,avg_hr_esk_dis,[0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,7.0,1.0,1.0,2.0,1.0,7.0,1.0
70,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,comp_hr_lin_din,[0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,7.0,1.0,1.0,2.0,1.0,7.0,1.0
71,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,avg_hr_lin_dis,[0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,7.0,1.0,1.0,2.0,1.0,7.0,1.0
72,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spect_edr,[0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,21.0,15.0,20.0,14.0,22.0,21.0,20.0
73,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,aff_edr,[1 1 0 2 0 0 0 1 2 3 2 3 0 1 1 1 2 2 2 3],0.07367,-0.01356,0.07606,-0.00799,0.05443,0.10628,0.07199,20.0,30.0,23.0,27.0,28.0,20.0,26.0
74,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral bad warp,[1 0 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 0 0 0],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,47.0,31.0,47.0,41.0,47.0,47.0,47.0
75,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity bad warp,[0 1 0 3 2 0 0 2 3 0 0 1 0 2 0 0 0 3 3 4],0.04315,-0.0763,0.04489,-0.06572,0.03237,0.06226,0.04259,28.0,52.0,32.0,51.0,34.0,28.0,34.0
76,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,PCA bad euclid,[0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,38.0,36.0,38.0,31.0,38.0,38.0,38.0
77,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral bad eucsim,[1 0 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 0 0 0],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,47.0,31.0,47.0,41.0,47.0,47.0,47.0
78,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity bad eucsim,[1 0 1 3 2 1 1 2 3 1 1 0 1 2 1 1 1 3 3 4],0.04315,-0.0763,0.04489,-0.06572,0.03237,0.06226,0.04259,28.0,51.0,32.0,51.0,34.0,28.0,34.0
