,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
27,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral bad cosine,0.0647908960372,0.0558282519574,0.0967342462203,0.0654623962769,0.100280725027,0.0934735044076,0.0965920881488,0.072698251703,0.109306633142,0.109112332449,0.126721361846,0.11421401414,0.104881407213,0.108885755789,27,9,27,4,22,27,25
28,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity bad cosine,0.115348197589,0.0197896232553,0.125987610256,0.0298080685954,0.0964939000204,0.166412272637,0.120835596917,0.0719300657638,0.0555617792812,0.073214607456,0.0613040320761,0.0536112113866,0.103773149168,0.0694600264178,12,29,14,21,24,12,13
29,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral bad rbf,0.0418633231388,0.0215268528832,0.0619691659102,0.0267392091525,0.063680601165,0.0603960086875,0.0619005700768,0.065073353544,0.0978040835191,0.0950228312274,0.120358870915,0.0963338491962,0.093881004452,0.0949932041334,38,28,41,23,43,38,41
30,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity bad rbf,0.1291325874,0.0486805044062,0.146164661656,0.0437282216345,0.116840222299,0.18629894346,0.141104286212,0.099353704817,0.10737295337,0.118529852246,0.102381060221,0.103965875629,0.143337097233,0.116474292764,8,13,7,14,17,8,7
31,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral bad edr,0.0184868032562,-0.0135896962578,0.0274978658184,-0.0158363551692,0.0283685692261,0.0266708193796,0.0274760980738,0.0195847539594,0.0295050320876,0.0290673494283,0.0373862977413,0.0299174112104,0.0282548274143,0.0290563724253,53,53,53,53,53,53,53
32,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity bad edr,0.10929416992,-0.00190572473901,0.103001789269,-0.001873985852,0.0716867738968,0.157678156941,0.0929037747462,0.152995119021,0.0384345947076,0.120950470207,0.0436293996845,0.06592704203,0.220725299491,0.102882268529,13,47,25,43,38,13,26
33,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,kmeans badset,0.0583194818593,0.046079132158,0.0870245073746,0.052034504472,0.0901975870411,0.0841372272656,0.0868829984439,0.080881727957,0.121613440342,0.121106295292,0.138342172471,0.126304300632,0.116687667822,0.120899593104,28,14,30,11,28,28,28
34,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,complete badset,0.044725338101,0.0232246295357,0.0747739912104,0.0175229610107,0.0889262294918,0.0645250234804,0.0730302549667,0.0598517752412,0.089909741355,0.0979721538971,0.0782260889627,0.115089824391,0.0863478593288,0.0967320010602,34,26,36,30,31,34,37
35,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,average badset,0.0400996244036,0.0101106236038,0.0848254999962,0.00897947219934,0.131232601717,0.0578515292686,0.076632044203,0.0442093484818,0.067715019364,0.0728950788673,0.0511224887005,0.0955775551146,0.0637806078156,0.0712252455371,39,35,31,35,8,39,32
36,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,ward badset,0.0444979099371,0.0247281143175,0.0670559561017,0.0286933131792,0.0703009284714,0.0641969139962,0.0668656807772,0.0647054640605,0.0975565466886,0.0980587469865,0.108416979343,0.103666269338,0.0933502521186,0.0978126193932,36,24,39,22,39,36,39
