,no_clust,algorithm,predictions
25,3.0,spectral overlap,"[0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 2 1 1 1 1 0 1 1 2 0 0 1 0 1 1 0 0 0 0
 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1
 0 1 0 2 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0]"
26,3.0,km_choice,"[2 0 1 1 1 2 2 1 2 1 1 2 1 1 0 0 2 2 2 2 1 1 1 1 1 1 0 2 2 0 0 0 2 2 1 2 2
 2 1 0 2 1 0 2 2 2 2 1 2 1 2 1 2 0 1 2 1 1 0 2 0 2 2 2 1 0 1 1 1 2 1 1 2 1
 2 0 0 1 2 0 0 1 1 2 1 2 1 2 2 1 0 0 2 2 1 0]"
27,3.0,km_ent,"[1 2 2 0 2 2 0 2 1 2 2 2 2 0 0 2 2 2 0 0 2 0 2 0 2 0 0 2 2 2 0 0 2 2 0 2 2
 2 1 0 1 2 2 2 2 2 2 1 2 2 2 2 2 0 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 1 2 2 2 2
 2 2 2 2 2 0 1 2 2 2 0 2 1 2 0 2 2 0 2 2 2 0]"
28,3.0,km_con,"[0 2 0 0 0 2 0 0 0 2 2 2 2 0 1 2 0 2 1 0 0 0 0 0 0 0 1 2 0 1 1 1 0 2 2 0 2
 2 0 1 0 2 1 0 2 2 2 0 0 2 2 0 2 1 0 0 0 2 2 2 1 2 0 2 0 2 2 0 2 0 2 0 0 0
 2 1 2 2 2 1 1 0 0 0 0 2 0 2 0 0 2 1 2 2 0 1]"
29,3.0,spect_cos_cat,"[0 2 1 0 0 0 0 0 1 2 2 2 0 1 0 0 0 2 1 0 1 0 1 1 0 1 1 0 1 2 1 2 0 1 2 0 0
 1 1 2 2 2 2 1 0 2 1 2 1 0 2 0 2 1 1 1 2 2 1 2 2 1 1 1 2 0 2 0 2 0 0 2 1 0
 2 2 2 2 1 2 2 2 0 1 0 0 1 0 2 1 0 1 2 2 0 2]"
30,3.0,aff_cos_cat,"[0 0 0 3 1 3 0 0 0 2 0 2 1 0 2 0 0 1 0 2 2 1 2 1 0 0 1 1 3 2 0 0 0 0 0 2 0
 0 0 0 0 0 0 3 2 3 0 3 1 3 2 0 0 1 1 3 0 0 1 0 0 0 1 1 0 0 0 0 0 3 0 0 0 0
 0 2 0 0 1 0 3 0 0 2 0 0 0 1 2 0 3 0 0 2 3 3]"
31,3.0,spect_cos_ent,"[2 1 1 0 0 0 0 0 2 1 0 0 0 1 1 0 0 1 1 1 0 1 1 1 0 0 1 0 1 0 1 1 1 1 2 0 1
 0 2 1 2 0 0 1 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 1 0
 0 0 0 0 0 0 2 0 1 0 1 0 2 0 2 1 0 1 1 0 0 0]"
32,3.0,aff_cos_ent,"[13 16  4 11  2  2  0 12 13  0  0  2  4  1 14  2  2  3  3 16  2  3 12  3  2
  4  6 12  4  2  5  3  0 16  6  2 16  2  9 14  7  2  8  0  2  2 12  9 16  2
  2  0 12  4  2 12  2  2  2  2  4  2 10  2  0 11  2 12  2 13  2 12 12  2  2
 12 12  2  2 11  6  2  0  2 14 12 15 11  6 16  2  3 16  2  2 11]"
33,3.0,spect_rbf,"[2 0 0 1 0 0 0 0 2 0 0 0 0 2 2 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 2 0 0
 0 2 2 1 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0
 0 0 0 0 0 0 2 0 0 0 2 0 1 0 2 0 0 1 0 0 0 1]"
34,3.0,spect_esk_sim,"[0 0 2 2 2 0 0 0 0 0 0 0 2 0 0 1 0 1 1 2 2 2 2 0 2 2 1 0 0 1 1 1 2 0 1 0 2
 2 2 1 2 0 1 2 0 0 0 0 2 0 2 0 0 1 2 0 0 2 0 0 1 0 2 0 0 1 2 0 0 0 1 0 1 2
 0 0 0 0 1 0 0 2 2 0 0 0 2 0 1 2 1 1 0 1 2 0]"
35,3.0,aff_esk_sim,"[10  2  4 13 14 14  0  4  0  2  1  1 13  2 11  3  0  7  7 14 14 14 11  8 14
  4  7 10 11  1  6  6  5 11  6 12 11  4 13  6 13 13  6  4  5 10 12 13 13 12
 14 11 12  7 13 10  9  4  6  9  6  8  7  8 14  6 14  9  1 10  3 12  0 13  9
  6 12 14  7  6  3  4  5  4 11 12 13 14  7  1  3  7  2  7 14  0]"
36,3.0,spect_lin_sim,"[1 1 2 2 2 1 1 1 1 1 1 1 2 1 1 0 1 0 0 2 2 2 2 1 2 2 0 1 1 0 0 0 2 1 0 1 2
 2 2 0 2 1 0 2 1 1 1 1 2 1 2 1 1 0 2 1 1 2 1 1 0 1 2 1 1 0 2 1 1 1 0 1 0 2
 1 1 1 1 0 1 1 2 2 1 1 1 2 1 0 2 0 0 1 0 2 1]"
37,3.0,aff_lin_sim,"[12  2  0  0 15  1 14  9 13  2  4  2  0  2 14 13  1  8  8 15 15 15 14 10 15
  3  8 12  9  4  6  6  5 14  6 11 13  9  9  6  0  7  6  3  5  1  6 12  3  5
 15 14  7  8 10 12 11  9 14 11  6 10  8 10  2  6 15 11  1 12 13 13 12  0 11
  6  4  7  8  6  4  3  5  3 14 12  3  1  8 13  0  8  2  8 15  4]"
38,3.0,comp_hr_esk_dis,"[1 1 0 0 1 2 1 1 2 2 0 0 0 1 0 2 2 1 1 1 0 1 1 2 1 1 1 0 1 1 2 2 1 1 1 0 0
 2 2 0 1 1 2 1 1 1 0 0 2 0 1 1 0 2 1 0 1 2 0 0 2 0 0 0 2 0 0 1 0 1 2 0 2 1
 2 0 1 0 1 2 0 2 0 0 0 0 1 1 1 0 0 2 2 1 1 0]"
39,3.0,avg_hr_esk_dis,"[0 1 2 2 2 0 1 2 1 2 0 0 1 1 1 1 0 2 2 2 2 2 1 2 2 2 2 0 2 1 1 1 2 1 2 0 1
 2 2 1 2 2 1 2 2 1 1 1 2 2 2 2 2 1 2 0 0 2 1 0 1 2 2 2 0 1 2 0 0 0 1 1 1 2
 0 1 1 2 2 1 1 2 0 0 1 2 2 2 1 0 1 1 1 2 2 1]"
40,3.0,comp_hr_lin_din,"[1 1 0 0 1 1 2 2 2 1 0 0 0 1 0 2 1 0 0 1 1 1 0 1 1 1 0 2 2 0 0 2 1 2 0 0 2
 1 1 0 1 1 0 0 1 2 0 1 2 1 0 1 2 0 1 0 2 1 1 2 0 1 0 0 1 2 1 2 0 1 2 1 2 1
 1 0 0 2 0 2 0 1 1 0 0 0 1 1 2 2 0 0 1 1 1 2]"
41,3.0,avg_hr_lin_dis,"[0 0 1 1 1 0 0 1 2 0 0 0 2 0 2 2 0 1 2 0 1 1 2 0 1 1 2 0 1 2 2 2 1 1 2 0 2
 1 1 2 1 0 2 1 1 2 0 0 1 0 1 0 0 2 1 0 0 1 0 0 2 1 0 1 0 0 1 0 0 0 2 0 1 1
 0 0 2 0 1 2 2 0 0 0 2 0 1 0 1 0 2 2 0 0 1 2]"
42,3.0,spect_edr,"[1 1 0 2 0 1 0 1 0 1 1 1 1 1 0 0 1 1 0 0 0 2 1 1 0 2 2 1 0 2 2 2 1 1 1 1 1
 1 2 0 2 1 2 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1 1 2 1 1 1 1 1 1 0
 1 2 1 1 0 1 2 1 1 1 1 1 2 1 2 1 1 2 1 1 2 0]"
43,3.0,aff_edr,"[ 0  1  5 23  1  0 18  2  0  8 13 11 22 11  2  3 13  2  1  1  3  4  3  8  1
  7  5 21  6  5  7 18 11 22  8  2 12 15 18  2  6 10  7  6  9 10 11 12 19  0
  9 13 21 14 15  9 16 16 12  2 23 16 17 21 13 16 18 15 19  9 19 13  2  1  2
 20 15 21  5  3 18 22 10  8  2 15  4 10  6 12 19 23  2 21  7  8]"
44,4.0,spectral warp,"[0 1 0 2 1 1 0 1 0 1 1 1 1 0 0 0 1 1 0 0 3 3 1 1 0 3 0 1 3 3 2 0 0 1 1 1 1
 1 2 0 2 1 3 0 1 1 1 1 1 1 1 0 0 2 0 1 1 1 1 1 3 1 2 1 0 1 0 1 1 1 1 1 0 3
 1 3 0 0 3 0 0 0 1 1 1 1 2 1 0 0 1 2 1 0 3 0]"
45,4.0,aff prop,"[ 7  0  4 13  4  7  1  0  1  0  0  6  7 13  1 10  6  4  4  1 10  9  7  0 10
  9 10  6 10 10  2  3  4  6  0  6  0  7  5  1  5  6  9 10  6  7  4  0  7  6
  7  7  4  8  4  6  6  7  6  6  9  6  5  6  1  0  3  6  6  0  7  7  4 10  6
 10  4  4 10  4  1  7  0  6  0  6 11  0  1  4  6 12  7  7  9 13]"
46,4.0,pca,"[0 1 1 0 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 1 1 0 1 1
 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1
 1 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 0 1 1 1 0]"
47,4.0,spectral overlap,"[0 0 0 3 2 0 3 0 0 3 0 3 0 0 0 0 3 0 1 0 0 2 2 0 0 3 1 0 0 2 3 0 3 0 0 0 3
 0 2 2 3 0 2 0 0 3 0 0 0 0 0 3 3 3 2 0 0 0 0 0 3 0 0 0 3 0 0 0 3 0 0 3 0 2
 3 2 3 1 0 0 3 3 0 0 0 0 3 3 0 3 0 3 1 0 2 3]"
48,4.0,km_choice,"[1 1 0 0 0 1 1 0 1 1 2 2 1 0 3 1 1 1 3 1 0 0 0 0 0 0 3 1 0 3 3 3 0 1 1 2 1
 0 0 3 0 1 3 0 1 1 1 1 0 1 1 1 1 3 0 0 1 0 1 1 3 0 1 2 0 1 0 1 2 1 1 0 1 0
 0 3 2 1 1 1 3 0 0 1 1 2 0 2 2 2 1 3 0 1 0 1]"
49,4.0,km_ent,"[1 2 0 3 0 0 2 0 1 0 0 0 0 2 2 0 0 2 2 2 0 2 0 2 0 2 2 0 0 0 3 2 0 0 2 0 0
 0 1 2 3 0 0 2 0 0 0 1 0 0 0 2 0 3 0 0 0 0 0 0 0 0 3 0 2 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 2 1 0 0 0 2 0 1 0 2 2 0 3 2 0 0 2]"
50,4.0,km_con,"[1 2 0 0 2 2 2 2 2 0 2 2 2 0 3 2 2 2 2 2 0 2 0 0 0 0 3 2 2 3 3 3 2 2 0 2 2
 2 0 3 0 2 3 0 2 2 2 0 0 2 2 2 2 3 0 2 2 2 2 2 3 2 1 2 0 2 2 2 2 1 2 2 2 2
 0 3 1 2 2 2 1 0 0 2 2 2 0 2 0 2 2 3 2 2 2 2]"
51,4.0,spect_cos_cat,"[2 0 0 1 2 1 2 2 0 0 0 0 2 0 2 2 1 0 3 3 0 2 3 0 2 0 3 1 1 2 3 1 1 3 0 2 2
 3 0 1 1 2 0 3 1 1 0 1 3 2 1 2 1 3 3 3 0 0 0 1 0 3 3 1 0 2 2 2 1 2 2 0 3 1
 1 0 1 1 2 0 1 0 2 2 2 2 0 2 0 0 2 0 1 1 2 0]"
52,4.0,aff_cos_cat,"[0 0 0 3 1 3 0 0 0 2 0 2 1 0 2 0 0 1 0 2 2 1 2 1 0 0 1 1 3 2 0 0 0 0 0 2 0
 0 0 0 0 0 0 3 2 3 0 3 1 3 2 0 0 1 1 3 0 0 1 0 0 0 1 1 0 0 0 0 0 3 0 0 0 0
 0 2 0 0 1 0 3 0 0 2 0 0 0 1 2 0 3 0 0 2 3 3]"
53,4.0,spect_cos_ent,"[2 1 1 0 0 0 0 1 2 1 0 0 1 3 1 0 0 1 1 1 0 1 1 1 0 1 2 1 1 0 1 1 1 1 2 0 1
 0 2 1 3 0 0 1 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 1 0 3 0 0 3 0 0 0 2 0 0 1 0
 0 1 0 0 0 0 2 0 1 0 1 0 2 3 2 1 0 1 1 0 0 3]"
54,4.0,aff_cos_ent,"[13 16  4 11  2  2  0 12 13  0  0  2  4  1 14  2  2  3  3 16  2  3 12  3  2
  4  6 12  4  2  5  3  0 16  6  2 16  2  9 14  7  2  8  0  2  2 12  9 16  2
  2  0 12  4  2 12  2  2  2  2  4  2 10  2  0 11  2 12  2 13  2 12 12  2  2
 12 12  2  2 11  6  2  0  2 14 12 15 11  6 16  2  3 16  2  2 11]"
55,4.0,spect_rbf,"[2 1 1 3 0 0 1 1 2 1 0 0 1 1 1 0 0 1 1 1 0 3 1 1 0 3 1 1 1 0 3 1 1 1 2 0 1
 0 2 1 3 0 3 1 0 0 0 2 1 0 0 1 0 3 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 2 0 0 1 0
 0 0 0 0 0 0 2 0 1 0 1 0 2 0 2 1 0 3 1 0 0 3]"
56,4.0,spect_esk_sim,"[1 1 2 0 2 0 0 1 0 1 1 1 2 1 1 3 1 2 3 2 2 2 1 0 2 2 3 1 1 3 3 0 2 1 3 1 2
 2 2 3 0 0 3 2 0 0 0 0 2 1 2 0 0 3 2 1 1 2 1 1 3 0 2 0 1 0 2 1 1 1 3 1 0 2
 1 0 1 0 3 0 0 2 1 1 1 1 0 1 2 2 0 3 1 3 2 0]"
