,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
18,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,comp_hr_lin_din,[0 0 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,21.0,34.0,19.0,32.0,30.0,34.0
19,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,avg_hr_lin_dis,[0 0 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,21.0,34.0,19.0,32.0,30.0,34.0
20,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_edr,[0 0 1 1 1 0 0 0 1 1 0 0 1 1 1 0 0 0 1 1],-0.0,-0.04064,-0.0,-0.05556,-0.0,-0.0,-0.0,52.0,48.0,52.0,52.0,52.0,52.0,52.0
21,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,aff_edr,[1 1 2 2 2 0 1 0 2 2 1 1 2 2 2 1 0 2 2 2],0.01077,-0.05464,0.0131,-0.05496,0.01105,0.01554,0.01292,41.0,52.0,41.0,51.0,42.0,41.0,41.0
22,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral bad warp,[1 1 0 0 0 1 1 1 1 0 1 1 0 0 0 1 1 0 0 0],0.02014,-0.01041,0.02905,-0.01333,0.02905,0.02905,0.02905,38.0,36.0,38.0,35.0,38.0,38.0,38.0
23,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,affinity bad warp,[0 0 1 1 1 0 2 2 3 1 2 0 1 1 1 2 2 1 1 1],0.07592,-0.01818,0.08449,-0.0192,0.06518,0.10953,0.08173,28.0,40.0,33.0,39.0,36.0,28.0,29.0
24,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,PCA bad euclid,[1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,17.0,5.0,10.0,7.0,5.0,17.0,9.0
25,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral bad eucsim,[0 0 1 1 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1],0.02014,-0.01041,0.02905,-0.01333,0.02905,0.02905,0.02905,38.0,36.0,38.0,35.0,38.0,38.0,38.0
26,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,affinity bad eucsim,[0 1 3 3 3 1 4 2 0 3 2 2 3 3 3 4 4 3 3 3],0.16569,0.02363,0.16964,-0.00227,0.12039,0.23904,0.16013,13.0,25.0,20.0,32.0,27.0,13.0,20.0
27,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral bad cosine,[1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 0 1],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,29.0,19.0,27.0,18.0,30.0,29.0,27.0
28,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,affinity bad cosine,[0 0 4 3 1 0 4 0 0 2 4 4 3 5 3 4 4 4 4 5],0.37274,0.14968,0.36224,0.1758,0.24402,0.53774,0.3357,3.0,12.0,3.0,6.0,10.0,3.0,6.0
29,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral bad rbf,[0 0 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,21.0,34.0,19.0,32.0,30.0,34.0
30,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,affinity bad rbf,[0 0 2 2 2 0 3 1 0 2 1 1 2 2 2 3 3 2 2 2],0.16569,0.06129,0.17889,0.04301,0.13388,0.23904,0.17163,16.0,18.0,19.0,23.0,24.0,16.0,19.0
31,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral bad edr,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,34.0,31.0,28.0,28.0,16.0,34.0,30.0
32,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,affinity bad edr,[0 1 3 5 2 2 3 3 4 7 5 7 6 6 6 1 3 0 0 7],0.2511,0.00405,0.21241,0.01042,0.12454,0.36226,0.18536,8.0,30.0,18.0,25.0,26.0,8.0,18.0
33,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,kmeans badset,[1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,9.0,1.0,4.0,1.0,1.0,9.0,1.0
34,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,complete badset,[1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,17.0,5.0,10.0,7.0,5.0,17.0,9.0
35,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,average badset,[0 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,9.0,1.0,4.0,1.0,1.0,9.0,1.0
36,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,ward badset,[1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,17.0,5.0,10.0,7.0,5.0,17.0,9.0
37,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral eblock warp,[1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 0 0 1 1 1],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,43.0,41.0,43.0,44.0,43.0,43.0,43.0
38,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,affinity eblock warp,[0 0 1 1 1 2 0 0 1 1 2 3 1 1 1 2 3 3 3 1],0.28854,0.16329,0.30541,0.10449,0.22408,0.41627,0.29133,5.0,11.0,8.0,15.0,12.0,5.0,8.0
39,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,PCA eblock euclid,[0 0 1 1 1 0 0 0 1 1 0 0 1 1 1 0 0 0 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,47.0,46.0,47.0,48.0,47.0,47.0,47.0
40,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral eblock eucsim,[1 1 0 0 0 1 1 1 0 0 1 1 0 0 0 1 1 1 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,47.0,45.0,47.0,48.0,47.0,47.0,47.0
41,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,affinity eblock eucsim,[0 0 0 0 0 1 2 3 0 0 4 4 0 0 0 4 2 5 5 0],0.26332,0.07316,0.26987,0.05537,0.19172,0.37989,0.25483,7.0,16.0,15.0,17.0,15.0,7.0,14.0
42,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral eblock cosine,[0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 1 1 0],0.1484,0.18162,0.22152,0.21227,0.22921,0.21409,0.22139,22.0,10.0,17.0,5.0,11.0,22.0,16.0
43,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,affinity eblock cosine,[0 0 3 4 1 6 5 3 0 2 3 3 4 7 4 3 5 6 6 7],0.26463,0.01261,0.22701,0.00116,0.13499,0.38177,0.19945,6.0,28.0,16.0,27.0,23.0,6.0,17.0
