,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
183,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,PCA bad euclid,[1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,21.0,15.0,21.0,16.0,19.0,21.0,21.0
184,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,spectral bad eucsim,[1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,21.0,15.0,21.0,16.0,19.0,21.0,21.0
185,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,affinity bad eucsim,[1 0 3 3 2 1 0 1 2 2 4 2 4 2 1 1 4 3 0 4],0.16569,0.02685,0.15812,0.01837,0.10459,0.23904,0.14551,6.0,7.0,6.0,8.0,10.0,6.0,7.0
186,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,spectral bad cosine,[1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,21.0,15.0,21.0,16.0,19.0,21.0,21.0
187,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,affinity bad cosine,[1 0 4 4 3 1 0 2 3 4 5 3 5 4 1 1 5 4 0 5],0.19531,0.02027,0.17944,0.01611,0.11427,0.28177,0.16259,3.0,9.0,4.0,10.0,6.0,3.0,4.0
188,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,spectral bad rbf,[1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,21.0,15.0,21.0,16.0,19.0,21.0,21.0
189,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,affinity bad rbf,[1 0 3 3 2 1 0 1 2 2 4 2 4 2 1 1 4 3 0 4],0.16569,0.02685,0.15812,0.01837,0.10459,0.23904,0.14551,6.0,7.0,6.0,8.0,10.0,6.0,7.0
190,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,spectral bad edr,[1 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 1 1 0],-0.0,-0.04064,-0.0,-0.05556,-0.0,-0.0,-0.0,53.0,44.0,53.0,51.0,53.0,53.0,53.0
191,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,affinity bad edr,[1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 0 1 1 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,33.0,35.0,33.0,29.0,33.0,33.0,33.0
192,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,kmeans badset,[1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,21.0,15.0,21.0,16.0,19.0,21.0,21.0
193,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,complete badset,[1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,21.0,15.0,21.0,16.0,19.0,21.0,21.0
194,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,average badset,[1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,21.0,15.0,21.0,16.0,19.0,21.0,21.0
195,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,ward badset,[1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,21.0,15.0,21.0,16.0,19.0,21.0,21.0
196,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,spectral eblock warp,[1 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 0 1 0],0.0,-0.04091,0.0,-0.05322,0.0,0.0,0.0,50.0,45.0,50.0,49.0,50.0,50.0,50.0
197,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,affinity eblock warp,[0 1 1 1 0 1 3 3 1 1 3 1 2 0 0 1 3 1 3 1],0.04976,-0.04264,0.05538,-0.04065,0.04272,0.07179,0.05356,14.0,48.0,18.0,40.0,18.0,14.0,18.0
198,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,PCA eblock euclid,[0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,43.0,31.0,43.0,41.0,43.0,43.0,43.0
199,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 1]",,spectral eblock eucsim,[1 1 1 1 0 0 0 1 1 1 1 1 0 0 1 1 0 1 0 1],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,41.0,27.0,41.0,38.0,41.0,41.0,41.0
