,mu,sigma,trials,cluster,decision,alpha,tau,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
17,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",pca,[0 0 0 0 0 1 0 1 0 0 0 0 0 1 1],0.13124,0.04378,0.16442,0.02036,0.22631,0.11946,0.15638
18,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",kmeans,[1 0 0 1 1 0 0 0 0 0 0 0 0 2 0],0.33873,0.18296,0.37828,0.125,0.4641,0.30833,0.37051
19,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",spectral overlap,[1 0 0 0 0 2 2 2 0 0 0 2 2 2 2],0.33393,0.18606,0.33735,0.16667,0.37442,0.30395,0.33553
20,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",spectral warp,[1 1 1 1 1 0 0 2 2 0 0 2 2 0 0],0.63651,0.4994,0.58295,0.42244,0.58655,0.57938,0.58294
21,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",aff prop,[0 1 0 0 0 1 1 2 2 1 1 2 2 1 1],0.44513,0.29091,0.41237,0.20712,0.41969,0.40517,0.4123
22,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",pca,[0 0 0 0 0 0 0 1 1 0 0 1 1 0 0],0.13124,0.04378,0.16442,0.02036,0.22631,0.11946,0.15638
23,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",kmeans,[1 2 1 1 1 1 1 0 0 1 1 0 0 1 1],0.18784,0.02403,0.19995,-0.02204,0.23383,0.17098,0.19753
24,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",spectral overlap,[0 1 2 0 0 0 0 0 0 0 0 0 0 0 0],0.16834,0.01277,0.23059,0.02252,0.34702,0.15323,0.21259
25,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",spectral warp,[2 2 2 2 2 0 0 0 0 0 1 1 1 1 1],1.09861,1.0,1.0,1.0,1.0,1.0,1.0
26,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",aff prop,[0 0 0 0 0 0 0 1 1 0 1 1 1 1 1],0.46659,0.37987,0.53554,0.39216,0.67531,0.4247,0.52146
27,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",pca,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],0.41311,0.32241,0.51757,0.30534,0.71237,0.37603,0.49223
28,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",kmeans,[0 1 1 1 0 1 1 1 1 1 0 0 2 0 0],0.49117,0.35289,0.49889,0.31858,0.55669,0.44708,0.4959
29,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 1, 5]",spectral overlap,[2 1 1 1 0 1 1 1 1 1 1 1 1 1 1],0.16834,0.01277,0.23059,0.02252,0.34702,0.15323,0.21259
