,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
134,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,affinity bad rbf,[0 0 4 1 0 0 4 0 0 0 2 0 3 2 0 0 0 4 0 4],0.147,0.00898,0.16406,-0.01234,0.12692,0.21208,0.1588,17.0,34.0,29.0,41.0,33.0,17.0,29.0
135,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,spectral bad edr,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,37.0,37.0,33.0,36.0,24.0,37.0,34.0
136,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,affinity bad edr,[0 1 3 4 2 2 3 3 1 6 4 6 5 5 5 1 3 0 0 6],0.22493,0.0116,0.19495,0.01156,0.11711,0.32451,0.17211,11.0,32.0,23.0,32.0,34.0,11.0,27.0
137,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,kmeans badset,[0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,43.0,43.0,43.0,42.0,43.0,43.0,43.0
138,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,complete badset,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,37.0,37.0,33.0,36.0,24.0,37.0,34.0
139,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,average badset,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,37.0,37.0,33.0,36.0,24.0,37.0,34.0
140,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,ward badset,[0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,43.0,43.0,43.0,42.0,43.0,43.0,43.0
141,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,spectral eblock warp,[1 1 0 0 1 0 1 0 1 1 1 0 0 0 0 0 1 0 0 1],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,36.0,31.0,40.0,30.0,40.0,36.0,40.0
142,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,affinity eblock warp,[1 1 0 0 1 0 1 1 1 1 1 0 0 2 0 2 1 2 0 1],0.1487,0.09422,0.17873,0.07083,0.14891,0.21452,0.17579,15.0,24.0,28.0,17.0,32.0,15.0,26.0
143,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,PCA eblock euclid,[0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,8.0,1.0,4.0,1.0,1.0,8.0,3.0
144,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,spectral eblock eucsim,[0 1 0 0 1 0 1 0 1 1 1 0 0 1 0 1 1 1 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,48.0,42.0,48.0,48.0,48.0,48.0,48.0
145,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,affinity eblock eucsim,[1 2 0 0 2 1 2 1 2 2 4 3 1 4 1 3 0 4 1 0],0.34657,0.15395,0.33496,0.11805,0.2244,0.5,0.30977,6.0,12.0,7.0,13.0,17.0,6.0,6.0
146,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,spectral eblock cosine,[1 1 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1 1 0 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,34.0,29.0,38.0,28.0,38.0,34.0,38.0
147,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,affinity eblock cosine,[0 0 3 3 0 1 0 0 0 0 3 2 4 4 2 2 3 4 3 3],0.50219,0.28248,0.50135,0.30594,0.34693,0.72451,0.46919,1.0,2.0,1.0,4.0,2.0,1.0,1.0
148,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.9]",,spectral eblock rbf,[0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,33.0,28.0,32.0,27.0,36.0,33.0,32.0
